Kms_Driven,modelYear,centralVariantId,variantName,price,Mileage,Engine_Displacement,Max Power,Max Torque,No of Cylinder,BoreX Stroke,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Turning Radius,Front Brake Type,Rear Brake Type,Alloy Wheel Size,No Door Numbers,Ground Clearance Unladen,Cargo Volumn,Compression Ratio,Acceleration,Top Speed,city,bt,oem,model,Registration Year,Insurance Validity,Fuel Type,Seating_Capacity,RTO,Ownership,Transmission,Color,Engine Type,Value Configuration,Fuel Suppy System,Turbo Charger,Super Charger,Gear Box,Drive Type,Steering Type,Tyre Type
17,2020,7579,220.0,5300000,16.1,1950,191.7,400.0,4.0,72.6523747368421,5063.0,1860.0,1494.0,3079.0,1595.0,1597.0,1805.0,1663.445324881141,6.0,236.0,185.39999999999998,17,4.0,175.14117647058825,540.0,12.667795612627074,7.3,240.0,5,8,21,200,73,2,1,3,443,1,0,57,197,3,4,3,0,86,16,1,26
3,2019,7286,69.81260057098365,695000,17.1,1496,105.5,140.0,4.0,72.6523747368421,4425.0,1730.0,1495.0,2550.0,1458.3461457676958,1459.0579069277742,1105.0,1580.0,5.1,236.0,185.39999999999998,15,4.0,175.14117647058825,476.0,12.667795612627074,12.854019118869493,175.7024856765095,5,8,30,295,159,2,4,3,420,1,1,110,70,3,30,0,0,21,12,4,31
34,2018,6740,69.81260057098365,395000,21.79,998,67.05,90.0,3.0,73.0,3655.0,1620.0,1675.0,2435.0,1458.3461457676958,1459.0579069277742,805.0,1340.0,4.7,236.0,185.39999999999998,0,5.0,175.14117647058825,341.0,12.667795612627074,18.6,175.7024856765095,5,2,20,184,86,2,4,3,414,1,1,9,295,3,49,0,0,8,12,4,22
50,2012,1636,1.4,200000,21.9,1396,90.0,22.4,4.0,72.6523747368421,3940.0,1710.0,1505.0,2525.0,1505.0,1503.0,1120.0,1663.445324881141,5.2,236.0,185.39999999999998,14,5.0,175.14117647058825,361.810963801579,12.667795612627074,12.854019118869493,175.7024856765095,5,2,9,90,10,4,1,3,413,3,1,86,234,3,4,0,0,16,12,4,26
48,2018,5628,69.81260057098365,750000,17.4,1497,117.6,145.0,4.0,73.0,4440.0,1695.0,1495.0,2600.0,1475.0,1465.0,1084.0,1459.0,5.3,236.0,185.39999999999998,16,4.0,175.14117647058825,510.0,10.3,9.64,189.0,5,8,8,63,158,2,4,3,409,1,1,66,469,8,69,0,0,8,12,4,26
20,2019,6572,2.0,975000,17.3,1497,121.0,300.0,4.0,72.6523747368421,4585.0,1866.0,1774.0,2760.0,1458.3461457676958,1459.0579069277742,1650.0,1663.445324881141,5.25,236.0,185.39999999999998,0,5.0,200.0,190.0,12.667795612627074,12.854019118869493,175.7024856765095,5,4,17,135,17,4,1,6,409,4,1,86,208,3,6,3,0,21,12,4,31
56,2018,6857,69.81260057098365,480000,19.0,1197,85.8,114.0,4.0,73.0,3995.0,1695.0,1555.0,2430.0,1485.0,1495.0,970.0,1415.0,4.8,236.0,185.39999999999998,14,4.0,175.14117647058825,320.0,10.0,12.6,169.0,5,8,20,180,158,4,4,3,423,1,1,138,291,3,49,0,0,8,12,4,26
60,2010,4224,69.81260057098365,245000,17.5,1298,85.8,114.0,4.0,74.0,4160.0,1690.0,1530.0,2390.0,1470.0,1480.0,1025.0,1663.445324881141,4.7,236.0,185.39999999999998,14,4.0,175.14117647058825,464.0,9.0,12.854019118869493,175.7024856765095,5,8,20,180,8,4,4,3,413,1,1,9,278,8,49,0,0,8,0,4,26
10,2022,6777,69.81260057098365,719000,21.01,1197,81.8,113.0,4.0,72.6523747368421,3995.0,1745.0,1510.0,2520.0,1515.0,1525.0,865.0,1340.0,4.9,236.0,185.39999999999998,0,5.0,175.14117647058825,339.0,12.667795612627074,12.36,175.7024856765095,5,2,20,157,127,2,4,3,423,1,1,9,59,3,49,0,0,8,12,1,26
50,2012,1305,1.8,375000,13.1,1799,132.0,17.5,4.0,81.0,4545.0,1750.0,1450.0,2700.0,1458.3461457676958,1459.0579069277742,1210.0,1663.445324881141,5.4,236.0,185.39999999999998,15,4.0,175.14117647058825,405.0,10.5,9.6,206.0,5,8,8,65,10,4,4,3,268,3,0,86,278,8,67,0,0,8,12,4,26
