city,bt,Kms_Driven,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seating_Capacity,RTO,Ownership,Transmission,Mileage,Engine_Displacement,Max Power,Color,Engine Type,Max Torque,No of Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Ground Clearance Unladen,Cargo Volumn,Compression Ratio,Acceleration,Top Speed
Hyderabad,Sedan,151901,Mercedes-Benz,Mercedes-Benz C-Class,2016,4695,220.0,2850000,Jun 2017,Third Party insurance,Diesel,5,TS08,First Owner,Manual,15.8,2148,170.0,Black,In-Line Engine,42.0,4.0,DOHC,MPFI,72.6523747368421,No,No,4596.0,1770.0,1447.0,2760.0,1541.0,1544.0,1575.0,2090.0,6 Speed,RWD,Power,5.42,236.0,185.39999999999998,"Tubeless,Radial",16,4.0,175.14117647058825,475.0,12.667795612627074,8.5,228.0
Hyderabad,Hatchback,15680,Maruti,Maruti Baleno,2021,6779,69.81260057098365,787000,Oct 2021,Zero Dep,Petrol,5,TS02,First Owner,Manual,21.01,1197,81.8,White,1.2L VVT Engine,113.0,4.0,DOHC,MPFI,72.6523747368421,No,No,3995.0,1745.0,1510.0,2520.0,1505.0,1515.0,865.0,1340.0,5 Speed,FWD,Electric,4.9,236.0,185.39999999999998,"Tubeless,Radial",16,5.0,175.14117647058825,339.0,12.667795612627074,12.36,175.7024856765095
Hyderabad,Hatchback,55065,Maruti,Maruti Swift,2019,10404,69.81260057098365,595000,Apr 2019,Third Party insurance,Petrol,5,TS08,First Owner,Automatic,22.56,1197,88.5,Blue,K Series Dual jet,113.0,4.0,DOHC,MPFI,72.6523747368421,No,No,3845.0,1735.0,1530.0,2450.0,1530.0,1530.0,875.0,1335.0,5-Speed,FWD,Electric,4.8,236.0,185.39999999999998,"Radial, Tubeless",0,5.0,175.14117647058825,268.0,12.667795612627074,12.854019118869493,175.7024856765095
Hyderabad,Hatchback,120000,Toyota,Toyota Etios Liva,2016,5428,1.4,400000,Aug 2016,Third Party insurance,Diesel,5,TS08,Second Owner,Manual,23.59,1364,67.04,Silver,D-4D Diesel Engine,170.0,4.0,SOHC,CRDi,2.85,Yes,No,3884.0,1695.0,1510.0,2460.0,1458.3461457676958,1459.0579069277742,995.0,1663.445324881141,5 Speed,FWD,Power,4.8,236.0,185.39999999999998,Tubeless,0,5.0,175.14117647058825,251.0,12.667795612627074,17.5,180.0
Hyderabad,Hatchback,15518,Tata,Tata Tiago,2021,7383,69.81260057098365,771000,Jun 2021,Third Party insurance,Petrol,5,TS07,Second Owner,Automatic,19.0,1199,84.82,White,1.2 L Revotron,113.0,3.0,DOHC,MPFI,72.6523747368421,No,No,3765.0,1677.0,1535.0,2400.0,1458.3461457676958,1459.0579069277742,982.0,1663.445324881141,5-Speed,FWD,Electric,6.036145117945655,236.0,185.39999999999998,"Tubeless, Radial",15,5.0,175.14117647058825,361.810963801579,12.667795612627074,12.854019118869493,175.7024856765095
Hyderabad,Sedan,39907,Honda,Honda Amaze,2018,7449,69.81260057098365,790000,Aug 2018,Third Party insurance,Diesel,5,TS09,First Owner,Automatic,21.0,1498,78.9,Red,i-DTEC Diesel Engine,160.0,4.0,DOHC,CRDi,72.6523747368421,Yes,No,3995.0,1695.0,1501.0,2470.0,1458.3461457676958,1459.0579069277742,1058.0,1663.445324881141,CVT,FWD,Electric,4.9,236.0,185.39999999999998,"Tubeless,Radial",15,4.0,175.14117647058825,420.0,12.667795612627074,10.06,175.7024856765095
Hyderabad,Hatchback,45560,Hyundai,Hyundai i20,2017,1481,1.2,655000,Dec 2017,Zero Dep,Petrol,5,TS08,First Owner,Manual,18.6,1197,81.83,Silver,Kappa VTVT Petrol Engine,114.7,4.0,DOHC,MPFI,72.6523747368421,No,No,3985.0,1734.0,1505.0,2570.0,1505.0,1503.0,1066.0,1663.445324881141,5 Speed,FWD,Power,5.2,236.0,185.39999999999998,Tubeless,0,5.0,175.14117647058825,295.0,12.667795612627074,13.2,170.0
Hyderabad,Hatchback,42096,Hyundai,Hyundai i10,2012,1570,69.81260057098365,336000,Feb 2012,Third Party insurance,Petrol,5,AP29,First Owner,Manual,20.36,1197,78.9,Yellow,DOHC Kappa2 Engine,111.8,4.0,DOHC,MPFI,71.0,No,No,3585.0,1595.0,1550.0,2380.0,1400.0,1385.0,960.0,1663.445324881141,5 Speed,FWD,Power,6.036145117945655,236.0,185.39999999999998,"Tubeless,Radial",13,4.0,175.14117647058825,361.810963801579,10.5,12.854019118869493,175.7024856765095
Hyderabad,Sedan,70500,Mercedes-Benz,Mercedes-Benz CLA,2015,4548,200.0,1775000,May 2016,Third Party insurance,Diesel,5,TS10,Second Owner,Automatic,17.9,2143,134.1,Cirrus White,In Line Diesel Engine,300.0,4.0,DOHC,CRDi,72.6523747368421,Yes,No,4630.0,1777.0,1432.0,2699.0,1549.0,1547.0,1570.0,2005.0,7 Speed,FWD,Power,5.5,236.0,185.39999999999998,"Tubeless,Radial",16,4.0,175.14117647058825,470.0,12.667795612627074,9.8,220.0
Hyderabad,Sedan,63886,Honda,Honda City,2018,5626,69.81260057098365,832000,Oct 2018,Third Party insurance,Petrol,5,TS10,First Owner,Manual,17.4,1497,117.6,Silver,i VTEC Engine,145.0,4.0,SOHC,PGM-Fi,73.0,No,No,4440.0,1695.0,1495.0,2600.0,1490.0,1480.0,1061.0,1436.0,5 Speed,FWD,Power,5.3,236.0,185.39999999999998,"Tubeless,Radial",15,4.0,175.14117647058825,510.0,10.3,9.64,189.0
Hyderabad,MUV,95600,Tata,Tata Hexa,2017,2501,69.81260057098365,1025000,Nov 2017,Third Party insurance,Diesel,7,TS19,First Owner,Manual,17.6,2179,153.86,Arizona Blue,2.2 LTR. VARICOR 400,400.0,4.0,DOHC,CRDi,72.6523747368421,Yes,No,4788.0,1900.0,1785.0,2850.0,1458.3461457676958,1459.0579069277742,1865.0,1663.445324881141,6 Speed,AWD,Power,5.75,236.0,185.39999999999998,"Tubeless,Radial",0,5.0,175.14117647058825,128.0,12.667795612627074,12.854019118869493,175.7024856765095
